,rgi_id,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,inv_volume_km3,inv_thickness_m,vas_volume_km3,vas_thickness_m,dem_mean_elev,dem_max_elev,dem_min_elev,n_centerlines,longuest_centerline_km,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_width,flowline_avg_slope,t_star,prcp_fac,mu_star,mb_bias,tstar_aar,tstar_mb_grad,tstar_ela_h,tstar_avg_temp_ela_h,tstar_avg_temp_mean_elev,tstar_avg_temp_max_elev,tstar_avg_temp_min_elev,tstar_avg_prcpsol_ela_h,tstar_avg_prcpsol_mean_elev,tstar_avg_prcpsol_max_elev,tstar_avg_prcpsol_min_elev,tstar_avg_prcp
0,RGI60-11.01450,,8.01919,46.5028,82.206,Glacier,Land-terminating,16.718469834060432,203.3728661418927,14.603980773507779,177.65103244906433,3058.10009765625,4086.0,1578.0,6.0,23.98404435338357,3049.809161672223,3809.8372738092144,1680.34070020573,3750.273722627737,0.12615101616229238,1965.0,2.5,295.35831909939066,-2.159213660238777,1.6165885335122518,13.033849955638795,2982.038306481228,-4.382346430611598,-4.822856998441893,-9.763039829259982,4.078688184750384,3333.744540931967,3524.527792641412,4545.045836106324,1488.398548016522,4547.822906001922
1,RGI60-11.02822,,7.803089999999999,45.9502,56.464,Glacier,Land-terminating,7.051714826122848,124.88868705941569,8.712944014080696,154.30971971664596,3340.66259765625,4532.0,2215.0,6.0,14.123286065934947,3314.224816760689,4417.634143638666,2268.0547406321507,3340.076900325348,0.2378403942266857,1984.0,2.5,290.3076310949425,-16.12073653207048,1.5082861122359628,11.848027769655161,3189.1604787719543,-4.440576577090457,-5.253494790789637,-12.425655563475154,1.5466108443481923,3395.978852874708,3642.968556825248,4414.679876881261,2056.132039137908,4414.679876881261
2,RGI60-11.01478,,8.121410000000001,46.5169,31.334,Glacier,Land-terminating,4.625217466606501,147.61018276014875,3.8770436965786383,123.73280451198822,3113.86083984375,4063.0,1724.0,6.0,15.223555544218273,3107.559468825335,3938.728541689173,1754.9088647998606,2267.9502026635787,0.19926300164280347,1965.0,2.5,361.54566062932633,3.1085201645807468,1.8675608981344405,15.424944051084895,3043.5755379559673,-4.782338443450243,-5.198234002682042,-10.600833087765356,3.5939951048881453,3506.192516404297,3701.438861798468,4547.822906001922,1651.930099799584,4547.822906001922
3,RGI60-11.03643,Fr4N01236A01 Mer De Glace/Geant,6.934,45.883,24.179000000000002,Glacier,Land-terminating,3.0126775437231648,124.59893063084351,2.714604895867491,112.27118143295799,2922.720703125,4054.0,1540.0,6.0,13.865263771358375,2908.87592623861,3865.410305876815,1574.8475531645086,2013.5742838107928,0.2369508359091744,1965.0,2.5,137.8793729791441,20.588820016330377,1.7578873877709666,6.9537217779472495,2864.80479631903,-3.2641132715379335,-3.5505756219255984,-9.76804921785527,5.120608981963184,2597.557251171555,2655.3990332320927,3944.9530256358867,1147.6724991881051,3954.11677071356
4,RGI60-11.01328,,8.2193,46.5642,23.825,Glacier,Land-terminating,3.4474801326009334,144.7001104974159,2.6601073756161755,111.65193601746802,2722.8623046875,3966.0,1948.0,7.0,12.280210814040984,2687.4576879601354,3826.122962055938,1997.7701485696093,1775.8646392367325,0.21515820784951434,1966.0,2.5000000000000004,125.16892540553408,16.078185067777298,0.88258569403833,6.211403751041267,2671.451211068577,-2.5114896887131466,-2.615531790654912,-10.016856224984592,1.8674373078778057,2562.1451853902818,2586.0309664717292,4329.548011505266,1807.4466276485489,4330.721829937351
5,RGI60-11.01827,,7.97735,46.4173,19.285999999999998,Glacier,Land-terminating,2.227904570540457,115.5192663351891,1.9892386572886203,103.14418009377891,2956.259765625,3774.0,2181.0,6.0,10.142549775709382,2926.8617257032483,3703.8911746850677,2218.844718018596,1666.465047956451,0.23726293643183666,1963.0,2.5000000000000004,196.62931592918616,5.022025659517544,1.1198921285119594,8.59216391699047,2896.789992408404,-3.5923004380297825,-3.787766708479257,-8.8384582310689,0.8143439364234841,2934.112514739195,2989.784015679093,4363.962863223774,2029.7576928780732,4378.468732034005
6,RGI60-11.01346,,8.06736,46.5676,18.842,Glacier,Land-terminating,1.9047200945901643,101.0890613836198,1.9265422657763536,102.2472277771125,2819.302978515625,4068.0,1260.0,6.0,9.606048983495992,2807.509236486901,3964.51640601808,1391.2529878834534,1723.2485824035114,0.2921619936846069,1964.0,2.5,157.5411015243885,4.345714647910299,1.0557696558379548,8.850801727221146,2764.739834866964,-2.942307768750056,-3.22030888501545,-10.740855642134788,5.985356920841753,2820.679709511579,2890.7352953426257,4479.873087606123,849.1030637737706,4479.873087606123
7,RGI60-11.00106,Pasterze,12.6967,47.0991,17.774,Glacier,Land-terminating,2.233517051858496,125.66203734997723,1.7780072757726009,100.03416652259486,2876.7470703125,3499.0,2094.0,6.0,9.245651506262043,2866.834707127897,3414.977385987203,2125.560529131051,1966.3679610576391,0.18878509828178397,1962.0,2.5,172.57389449907154,-27.498347628532656,1.8625765795574551,7.339506827859878,2850.816085152725,-4.1536034067893235,-4.257724451776193,-7.820651937873317,0.5605578046159175,2497.4039818407905,2520.499531127387,3552.8213349727594,1725.9361395812089,3694.6692701770417
8,RGI60-11.02766,,7.29108,45.9647,16.697,Glacier,Land-terminating,2.1097407327358453,126.3544788127116,1.6315740222014117,97.71659712531662,3221.53857421875,4268.0,2259.0,4.0,11.02214775545584,3210.778023969953,4187.3105583461775,2282.231897392307,2329.0556562979496,0.19597176640891253,1992.0,2.5,221.2721944722417,-43.66161222785377,1.4307704568617574,9.255027029077807,3157.1631453045393,-4.4352156404528875,-4.7837123589683745,-11.131173963377032,1.2518375883140804,3017.84032463274,3108.7147388932417,4063.4157453289067,1876.67649752056,4065.5013480647913
9,RGI60-11.00746,,10.757,46.8489,16.624000000000002,Glacier,Land-terminating,2.36959874638074,142.54082930586742,1.6217737665371683,97.55616978688455,3072.322021484375,3492.0,2134.0,4.0,8.057073877727913,3075.117067709791,3459.825609075439,2156.3285736051507,2408.92624257354,0.1521509428127634,1975.0,2.5000000000000004,298.412276175988,-12.800909949377795,1.3013190535855792,11.840430088788054,3057.44681693686,-4.732738920705718,-4.847595553099571,-7.3482011235696545,1.1245297817997313,3025.0544453658936,3063.7980007021692,3729.59505020254,1890.8673943506155,3877.014239649619
