rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,inv_volume_km3,inv_thickness_m,vas_volume_km3,vas_thickness_m,n_orig_centerlines,perc_invalid_flowline,dem_mean_elev,dem_max_elev,dem_min_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,n_centerlines,longuest_centerline_km,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_width,flowline_avg_slope,t_star,prcp_fac,mu_star,mb_bias,tstar_aar,tstar_mb_grad,tstar_ela_h,tstar_avg_temp_ela_h,tstar_avg_temp_mean_elev,tstar_avg_temp_max_elev,tstar_avg_temp_min_elev,tstar_avg_prcpsol_ela_h,tstar_avg_prcpsol_mean_elev,tstar_avg_prcpsol_max_elev,tstar_avg_prcpsol_min_elev,tstar_avg_prcp
RGI60-11.01450,11,11-01,,8.01919,46.5028,82.206,Glacier,Land-terminating,16.34709860506905,198.85529772849975,14.60398077350778,177.6510324490643,6,0.0,3058.1005859375,4086.0,1578.0,4086.0,1578.0,6,23.984044353383574,3049.8091449583253,3809.839307962997,1680.3407002057334,3750.2737226277372,0.12614964483365484,1965.0,2.5,295.4251821530492,0.09629671333294708,0.617822983173553,13.040153551936914,2981.887542516601,-4.381366464821305,-4.822856889801502,-9.76305305125984,4.078688184750379,3335.5303066656843,3525.618814442928,4545.402708111493,1486.4234062960059,4548.270918138565
RGI60-11.02822,11,11-01,,7.80309,45.9502,56.464,Glacier,Land-terminating,7.049471316471154,124.84895360709751,8.712944014080696,154.30971971664596,6,0.09815950920245399,3340.661865234375,4532.0,2215.0,4532.0,2215.0,6,14.123286065934947,3314.2189523797956,4417.634143638665,2268.056480479693,3340.0769003253477,0.23783704337020634,1984.0,2.5,289.82832721570173,-52.08445641489161,0.6013213982560508,11.825200099006627,3189.261482558396,-4.441233101715831,-5.2534566723130975,-12.425655563475157,1.5465995353389503,3389.5996364797084,3634.6425164552097,4411.127891909691,2055.9262708765523,4411.127891909691
RGI60-11.01478,11,11-01,,8.12141,46.5169,31.334,Glacier,Land-terminating,4.574491661243072,145.99130852246992,3.877043696578639,123.73280451198822,6,0.0,3113.860595703125,4063.0,1724.0,4063.0,1724.0,6,15.223555544218273,3107.5600464319095,3938.7285416891723,1754.9088647998617,2267.9502026635787,0.199261318372865,1965.0,2.5,361.60015277901834,1.7383117861098951,0.6512715734649006,15.429734888112623,3043.5318373834493,-4.782054389723015,-5.198237757124863,-10.600833087765357,3.5939951048881413,3507.2819075385514,3701.4597759375706,4548.270918138565,1650.2195099062428,4548.270918138565
RGI60-11.03643,11,11-01,Fr4N01236A01 Mer De Glace/Geant,6.934,45.883,24.179,Glacier,Land-terminating,3.006565194273991,124.34613483907486,2.714604895867491,112.27118143295799,7,0.0,2922.72119140625,4054.0,1540.0,4054.0,1540.0,6,13.865263771358377,2908.875889087052,3865.3874987991,1574.8475531645079,2013.5742838107924,0.23695057885733856,1965.0,2.5,138.12386655546123,22.622082498136482,0.6374036139277466,6.971651576617938,2864.251643653337,-3.260517779136759,-3.5505753804404887,-9.767900971846998,5.120608981963185,2604.4892113195283,2663.269946367588,3950.276491136853,1145.9637557880278,3959.8438085125335
RGI60-11.01328,11,11-01,,8.2193,46.5642,23.825,Glacier,Land-terminating,3.4356776634723887,144.20472879212545,2.6601073756161755,111.65193601746802,7,0.0,2722.863037109375,3966.0,1948.0,3966.0,1948.0,7,12.280210814040984,2687.4579379947695,3826.1229378599774,1997.7701485696107,1775.8646392367325,0.2151568359845148,1965.0,2.5000000000000004,122.89425824330515,9.94808339904188,0.46881568091867176,6.0409538847320805,2673.1864926668036,-2.48334249582324,-2.576106892368968,-9.977429544199653,1.9068638313889292,2550.623492941596,2572.45121253,4311.028982279054,1824.1881634342058,4314.030810079267
RGI60-11.01827,11,11-01,,7.97735,46.4173,19.286,Glacier,Land-terminating,2.189369212547162,113.52116626294524,1.98923865728862,103.1441800937789,6,0.018404907975460124,2956.259521484375,3774.0,2181.0,3774.0,2181.0,6,10.142549775709385,2926.861711392108,3703.8911746850677,2218.844718018597,1666.46504795645,0.2372629368339307,1963.0,2.5000000000000004,197.01268781382103,3.346074811280322,0.5282778842610537,8.614778085819301,2896.3268777116364,-3.5892901924387117,-3.7877666154568352,-8.8384582310689,0.8143439364234791,2942.8768442652436,2999.004588574903,4367.901284614597,2035.7531581133635,4383.170487373106
RGI60-11.01346,11,11-01,,8.06736,46.5676,18.842,Glacier,Land-terminating,1.905125633824944,101.11058453587434,1.9265422657763536,102.2472277771125,6,0.025974025974025976,2819.303466796875,4068.0,1260.0,4068.0,1260.0,6,9.606048983495993,2807.5080217197315,3964.5164060180787,1391.2529878834534,1723.2485824035118,0.2921621046074695,1964.0,2.5,157.6515578281546,3.4725485097322415,0.5135641791578109,8.860068499405306,2764.4008736993455,-2.9401045211150434,-3.2203009890286936,-10.740855642134788,5.985356920841752,2824.399672080991,2894.955524861494,4481.643034719651,850.2192285364215,4481.643034719651
RGI60-11.02766,11,11-01,,7.29108,45.9647,16.697,Glacier,Land-terminating,2.1067136421790695,126.1731833370707,1.6315740222014115,97.71659712531662,4,0.09322033898305085,3221.53857421875,4268.0,2259.0,4268.0,2259.0,4,11.022147755455839,3210.7780239699528,4187.3105583461775,2282.231897392308,2329.0556562979496,0.19597176640891237,1992.0,2.5,220.0417684333452,-8.473489865365082,0.5886078024450534,9.190537847541746,3157.048078979749,-4.434467709326312,-4.783712358968375,-11.131173963377034,1.2518375883140767,3001.76775914466,3091.4654048125126,4045.3967383366917,1879.0917992838863,4047.69011417512
RGI60-11.00746,11,11-01,,10.757,46.8489,16.624,Glacier,Land-terminating,2.367813859970525,142.43346125905467,1.6217737665371685,97.55616978688454,5,0.0,3072.32080078125,3492.0,2134.0,3489.0,2134.0,4,8.057073877727913,3075.117064317066,3459.8256090754385,2156.3285760942317,2408.926242573539,0.15215059221513252,1975.0,2.5000000000000004,297.36158161017823,8.271560558346328,0.5654665968884472,11.798115731444378,3057.52154322364,-4.733224641579866,-4.847595531046836,-7.3482011235696545,1.124529765620695,3013.7837639173836,3052.1620417143586,3719.5127645576495,1886.789443209175,3872.883471673535
RGI60-11.01238,11,11-01,Rhone,8.3965,46.6236,15.837,Glacier,Land-terminating,2.169537927348012,136.99172364387272,1.517152292019988,95.7979599684276,5,0.043859649122807015,2947.082275390625,3574.0,2215.0,3574.0,2215.0,5,9.25956666071459,2946.6222859312306,3505.681492664749,2222.6195305193264,2201.417848206839,0.1877656104308965,1962.0,2.5,221.36769887957246,51.11077830640602,0.5422505194089384,9.334582430851896,2931.283376646305,-3.9412726516579975,-4.040975564067148,-7.674860482810687,0.665042443206569,3000.8593490277412,3037.8548330563553,4242.305184051959,1994.8657351509032,4371.678402131603
