rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,inv_volume_km3,inv_thickness_m,vas_volume_km3,vas_thickness_m,n_orig_centerlines,perc_invalid_flowline,dem_mean_elev,dem_max_elev,dem_min_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,n_centerlines,longuest_centerline_km,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_width,flowline_avg_slope,t_star,prcp_fac,mu_star,mb_bias,tstar_aar,tstar_mb_grad,tstar_ela_h,tstar_avg_temp_ela_h,tstar_avg_temp_mean_elev,tstar_avg_temp_max_elev,tstar_avg_temp_min_elev,tstar_avg_prcpsol_ela_h,tstar_avg_prcpsol_mean_elev,tstar_avg_prcpsol_max_elev,tstar_avg_prcpsol_min_elev,tstar_avg_prcp
RGI60-11.00719,11,11-01,Vernagtferner,10.818,46.8762,8.559,Glacier,Land-terminating,1.0081491130912832,117.78818940194921,0.6509694060913896,76.05671294443155,4,0.33663366336633666,3145.296630859375,3553.0,2815.0,3553.0,2815.0,4,6.891369475732415,3141.5649796224916,3477.1606809105133,2839.773505164312,1661.619103086779,0.13153673653003456,1944,2.5,318.77958228433425,31.547939817254644,0.5520014145109253,10.495631151979866,3135.0615415438665,-5.328094861113075,-5.370367209496328,-7.551739312875439,-3.408722585044768,2882.0469174379054,2895.9793902935608,3536.355834784087,2373.676368480308,3664.2149586831365
RGI60-11.00897,11,11-01,Hintereisferner,10.7584,46.8003,8.036,Glacier,Land-terminating,0.8759730261342887,109.00610081312703,0.5969099498099237,74.27948603906468,3,0.16666666666666666,3029.875732421875,3684.0,2447.0,3677.0,2447.0,3,8.999747468305845,3032.5219608874577,3627.4646208669674,2481.880911687196,1785.7777777777778,0.18586580175192194,1963,2.5,225.66656080940396,-10.656047382188717,0.5637082551726676,8.716715489188951,3017.4210519973158,-4.338962630143706,-4.437118539954818,-8.304245909609687,-0.8579516463063898,2642.75754243787,2673.933209089044,3552.9857948909603,1995.8700102094915,3591.481586148662
RGI60-11.00945,11,11-01,,10.9446,46.7824,7.148,Glacier,Land-terminating,0.7466370472923204,104.4539797555009,0.5081391594041161,71.0882987414824,3,0.06382978723404255,3104.65673828125,3513.0,2575.0,3513.0,2575.0,3,5.6439132726722026,3099.68228763985,3393.719765638964,2600.9641973178464,1617.9266636487102,0.15863027167110377,1939,2.5,212.20639709128562,1.1980115991185465,0.5881757437130187,7.543308406793751,3096.110452026088,-4.954243078965777,-4.977460010934307,-6.888703657361976,-1.7357923569579135,2334.067682436577,2339.4175937377872,2911.3292178588904,1786.4431108119138,3190.912654076853
RGI60-11.00958,11,11-01,,10.894,46.7767,4.349,Glacier,Land-terminating,0.3622485358947173,83.29467369388763,0.2566045498549511,59.003115625419895,6,0.0,3104.007568359375,3566.0,2482.0,3566.0,2482.0,6,4.51109285477417,3101.372479040799,3502.4211760164826,2517.5516532219253,1013.7529137529139,0.2650649255895645,1953,2.5,223.13170088494132,6.552946329311268,0.5858870141790831,8.170734673648486,3091.8282286094354,-4.9173584372566275,-4.979396066340517,-7.586212650467197,-1.1845606202213321,2402.5011530676074,2420.0842086697244,3086.16574901827,1747.6262322196949,3214.245662735355
RGI60-11.00787,11,11-01,Kesselwandferner,10.7907,46.8424,3.965,Glacier,Land-terminating,0.4173109822512751,105.24867143790041,0.22597651441632047,56.992815741821055,4,0.0,3170.383544921875,3464.0,2757.0,3464.0,2757.0,4,4.157084845547456,3169.427520717904,3423.373989783434,2777.1120244682584,1098.337950138504,0.16716909076592712,1987,2.5,342.2145267858489,7.036421536944999,0.5827281016572824,11.546309619529245,3163.0143216489955,-5.026544205666059,-5.068230000474072,-6.718882083456911,-2.5181792222377277,3157.527892500275,3169.083909959092,3606.7198070410504,2513.081566048243,3941.1465182150564
RGI60-11.00943,11,11-01,,10.8341,46.7902,3.176,Glacier,Land-terminating,0.2544259132452542,80.10891474976518,0.16655765433600167,52.442586377834274,2,0.17391304347826086,3105.616943359375,3440.0,2781.0,3440.0,2781.0,2,2.470929291125632,3103.762086933997,3376.6807605902127,2796.2457827411636,1972.6708074534158,0.2319729089531129,1964,2.5,253.630233528206,4.501083081804318,0.5191247496614034,8.656858393904134,3100.103472610786,-4.97347727854773,-4.997258272139188,-6.771229687505842,-2.998402253644641,2497.945291115923,2505.456510936154,3022.2736428882854,2048.406622882938,3270.1796780709296
RGI60-11.00957,11,11-01,,10.8054,46.7801,3.085,Glacier,Land-terminating,0.25548420180039866,82.81497627241448,0.16003124116942716,51.87398417161334,2,0.0,2967.8603515625,3399.0,2681.0,3399.0,2681.0,2,3.298919189857865,2961.2876011288377,3370.595948396219,2688.0223659023577,1259.183673469388,0.19769721181780694,1964,2.5,188.15472253043475,-0.21380556570328788,0.45511423515492155,7.157878745285084,2958.53490670407,-3.984159662577277,-4.00205217670743,-6.662556488837919,-2.225828111087557,2520.328351269368,2524.2950191043833,3341.213920928882,2186.3088782669247,3594.090996957594
RGI60-11.00886,11,11-01,,10.9455,46.8104,2.398,Glacier,Land-terminating,0.14097710799091046,58.78945287360736,0.1131804816650106,47.197865581739194,1,0.0,3113.71142578125,3453.0,2756.0,3453.0,2756.0,1,3.2337223638131936,3107.474125718028,3413.341281892258,2773.1515136321004,1529.3367346938776,0.20329333939036992,1943,2.5,210.98239084838784,3.130255703137601,0.5565483735886466,7.312811579364157,3105.066418626159,-5.031990914004951,-5.047641010425035,-7.0357775665774325,-2.874543987030299,2306.8361348117446,2310.7214222168022,2906.807162206124,1875.5564128607966,3164.7580034194452
RGI60-11.00779,11,11-01,,10.8009,46.8542,1.375,Glacier,Land-terminating,0.0820286752121267,59.65721833609214,0.05267992245662828,38.31267087754784,2,0.0,3154.650634765625,3471.0,2826.0,3471.0,2826.0,2,2.1297038943812154,3154.9889953636443,3431.4634029233794,2839.93334021591,1036.9532428355956,0.27844736324415353,1976,2.5,378.608117641515,11.895797166298502,0.5763712139027309,12.61022693906503,3144.2155246801467,-5.280785713636963,-5.3508132745245565,-7.147896960740909,-3.30295147381202,3159.0646296081227,3181.0524353048304,3633.371800306181,2600.211529797026,3841.56741293015
RGI60-11.00720,11,11-01,,10.8784,46.8837,1.112,Glacier,Land-terminating,0.059526789470727766,53.53128549525878,0.03934350066510859,35.38084592186024,1,0.0,3313.9150390625,3701.0,2892.0,3701.0,2892.0,1,1.9770815280171292,3311.164588389473,3642.9713788703307,2922.166582072843,1140.5128205128203,0.3586934816309652,1953,2.5,606.2585826620026,20.33797674835612,0.5034080462898743,17.449301183398187,3288.735189631807,-6.3662110873221645,-6.512002182255088,-8.668746364879313,-3.983515089028244,3194.4240954949582,3232.1544181150657,3530.1516312573913,2446.0031509893865,3562.2456050995856
RGI60-11.00782,11,11-01,,10.964,46.853,1.078,Glacier,Land-terminating,0.0426078632756415,39.52491955068784,0.03769898983568341,34.9712336138065,1,0.0,3089.521728515625,3477.0,2792.0,3477.0,2792.0,1,1.7406854249492374,3081.585359773681,3427.0563386885156,2807.1651697284683,1268.2352941176466,0.3452141159614303,1948,2.5,260.95497956349374,6.195578320907921,0.5014169421662223,9.003317125891941,3077.1285443186516,-4.988736802429458,-5.017706103484857,-7.2632675127625035,-3.233974831388338,2698.3941972380626,2706.984711739815,3368.2019442353085,2263.166498284986,3538.419406244832
RGI60-11.00844,11,11-01,,10.875,46.8291,0.952,Glacier,Land-terminating,0.04830694355263582,50.74258776537376,0.03177640200043567,33.3785735298694,2,0.0,3091.797119140625,3291.0,2840.0,3291.0,2840.0,2,1.8499982668964448,3092.5449006134327,3257.7805193994163,2851.8750354679837,793.3333333333331,0.24746264458848888,1960,2.5,225.0900089491241,11.882362099996126,0.5593008910415544,7.924365479615538,3090.642577036101,-4.835189341038307,-4.847554444546088,-5.921585988814852,-3.2832002888243426,2424.1238442046165,2427.585927701992,2746.4747168163904,2061.265912489329,3236.090672323781
RGI60-11.00674,11,11-01,,10.9269,46.9185,0.945,Glacier,Land-terminating,0.04972763943874762,52.62184067592341,0.031455576836440916,33.286324694646474,1,0.0,3088.10693359375,3271.0,2875.0,3271.0,2875.0,1,1.8325281374238562,3088.296469629538,3238.525459337229,2887.1930926453733,1064.1891891891892,0.19992640458144395,1956,2.5,272.8480132882093,12.435065894392029,0.49060912051096317,9.664843796226181,3085.272746759676,-5.020885586135725,-5.040539785195393,-6.017028238442625,-3.733367807828215,2752.476271528853,2758.612448063509,3069.521365042926,2388.02411268565,3553.125012613112
RGI60-11.00885,11,11-01,,10.7688,46.8193,0.867,Glacier,Land-terminating,0.031839795966304034,36.72410146055829,0.02794185123329495,32.22820211452704,1,0.0,3176.40478515625,3434.0,2952.0,3434.0,2952.0,1,1.2350651506262045,3178.595947228181,3392.715259056691,2966.1723359822936,1449.8327759197323,0.3496788843159377,1969,2.5,398.39776750077937,-1.9163860786560192,0.5005349187736371,12.525485621037426,3172.870686570563,-5.423847641917471,-5.461061836959866,-6.852837392560745,-4.080308335373297,3063.6731372731324,3078.022444944092,3469.6253797842564,2594.827233487555,3660.9884233167095
